 Apple iPhone 12 128 GB Black  ; 33999 ;https://rozetka.com.ua/ua/apple_iphone_12_128gb_black/p245162293/
 Apple iPhone 12 128 GB Blue  ; 33999 ;https://rozetka.com.ua/ua/apple_iphone_12_128gb_blue/p245162269/
 Apple iPhone 12 128 GB White  ; 33999 ;https://rozetka.com.ua/ua/apple_iphone_12_128gb_white/p245162281/
 Apple iPhone 12 128 GB PRODUCT Red  ; 33999 ;https://rozetka.com.ua/ua/apple_iphone_12_128gb_product_red/p245162257/
 Apple iPhone 12 128 GB Green  ; 33999 ;https://rozetka.com.ua/ua/apple_iphone_12_128gb_green/p245162245/
  Apple iPhone SE 64GB (2020) White ; 14499 ;https://rozetka.com.ua/ua/apple_iphone_se_64gb_white/p205228429/
  Apple iPhone 11 64GB Black  ; 22999 ;https://rozetka.com.ua/ua/apple_mwlt2/p141544747/
 Apple iPhone 12 64 GB Blue  ; 31999 ;https://rozetka.com.ua/ua/apple_iphone_12_64gb_blue/p245162167/
 Apple iPhone 12 64 GB Black  ; 31999 ;https://rozetka.com.ua/ua/apple_iphone_12_64gb_black/p245162131/
 Apple iPhone 12 64 GB White  ; 31999 ;https://rozetka.com.ua/ua/apple_iphone_12_64gb_white/p245162197/
 Apple iPhone 12 64 GB PRODUCT Red  ; 31999 ;https://rozetka.com.ua/ua/apple_iphone_12_64gb_product_red/p245162161/
 Apple iPhone 12 64 GB Green  ; 31999 ;https://rozetka.com.ua/ua/apple_iphone_12_64gb_green/p245162155/
  Apple iPhone 7 32GB Rose Gold  ; 9499 ;https://rozetka.com.ua/ua/apple_iphone_7_32gb_rose_gold/p11256389/
  Apple iPhone 11 128GB PRODUCT Red  ; 24999 ;https://rozetka.com.ua/ua/apple_iphone_11_128gb_red_mwlg2/p138132290/
 Apple iPhone 12 256 GB White  ; 37999 ;https://rozetka.com.ua/ua/apple_iphone_12_256gb_white/p245162353/
 Apple iPhone 12 256 GB Black  ; 37999 ;https://rozetka.com.ua/ua/apple_iphone_12_256gb_black/p245162365/
